year,combination,organism,antibiotics,R,Tested.isolates,isolates,Region,NAME,TMN,TMP,HEG,IT,OPE,PD,UP,PMP,PREC,SR,SSR,TCL,HUM,CPI,WASH,AMC,IC,HD
2019,CRPA,Pseudomonas aeruginosa,Carbapenems,0.107,440,47,Europe and Central Asia,C005,7.1,11.5,10.40220979,9343000,24.00392505,379.4247028,98.041,10.5,849.1,0.0148,0.115,2.081,202,75,53.63758214,26.3,94.27230923,5.58
2020,CRPA,Pseudomonas aeruginosa,Carbapenems,0.124,474,59,Europe and Central Asia,C005,7.5,12,10.78081265,2584000,20.82964087,381.0635403,98.079,9.2,820.9,0.0149,0.233,2.572,182.2,76,53.63758214,26.3,94.27230923,5.58
2021,CRPA,Pseudomonas aeruginosa,Carbapenems,0.106,479,51,Europe and Central Asia,C005,6.4,10.5,13.30493454,18028970.1,7.064288489,381.5257679,98.11273046,10.8,959.3,0.0289,0.237,1.203,188.9,73,53.63758214,26.3,97.84699455,5.668018497
2022,CRPA,Pseudomonas aeruginosa,Carbapenems,0.148,452,67,Europe and Central Asia,C005,7.5,12,19.22230695,58968910.29,23.02622373,380.073869,98.14019138,10.1,729.3,0.0161,0.226,2.807,154.1,73,53.63758214,26.3,98.39639574,5.884055491
2005,CRPA,Pseudomonas aeruginosa,Carbapenems,0.375,32,12,Europe and Central Asia,C007,6.1,10.8,6.86359114,7282000,40.42781935,70.4986377,70.584,27.5,799.9,0.0978,0.0798,0.215,100.1,40,53.63758214,15.4,94.55045088,6.41
2009,CRPA,Pseudomonas aeruginosa,Carbapenems,0.235,34,8,Europe and Central Asia,C007,7.1,11.9,6.575381329,7873000,46.19657459,68.57445652,71.963,25.3,737.7,0.0618,0.034,1.291,101.5,38,53.63758214,18.8,93.97902231,6.72
2010,CRPA,Pseudomonas aeruginosa,Carbapenems,0.31,42,13,Europe and Central Asia,C007,7.1,11.9,7.070763623,8374000,44.7532436,68.12453021,72.302,25.1,777,0.0737,0.0787,1.361,106.6,36,53.63758214,19,95,6.62
2011,CRPA,Pseudomonas aeruginosa,Carbapenems,0.292,48,14,Europe and Central Asia,C007,6,11,7.082331679,8713000,45.86948976,67.68909359,72.638,30.5,523.9,0.0325,0.0421,0.422,82.7,33,53.63758214,19.6,95.42857143,6.45
2012,CRPA,Pseudomonas aeruginosa,Carbapenems,0.314,51,16,Europe and Central Asia,C007,6.8,12,7.516807941,8867000,49.20127076,67.2981577,72.975,25.7,653.6,0.0482,0.022,1.678,87,41,53.63758214,19.7,95,6.61
2013,CRPA,Pseudomonas aeruginosa,Carbapenems,0.136,59,8,Europe and Central Asia,C007,7.1,12.1,7.123620363,9192000,43.43709078,66.92257738,73.313,23.5,599,0.0527,0.0337,1.476,93.3,41,53.63758214,20.5,95.14285714,6.82
2014,CRPA,Pseudomonas aeruginosa,Carbapenems,0.292,48,14,Europe and Central Asia,C007,7.4,12.1,7.659756191,9409000,41.76138961,66.54327561,73.651,24.2,934.9,0.112,0.0633,1.196,112.9,43,53.63758214,21.5,90.42857143,7.13
2015,CRPA,Pseudomonas aeruginosa,Carbapenems,0.255,55,14,Europe and Central Asia,C007,7,12,7.366465303,9317000,44.10270127,66.120035,73.99,21.5,742.8,0.0657,0.108,1.438,96,41,53.63758214,22.3,90.85714286,7.24
2016,CRPA,Pseudomonas aeruginosa,Carbapenems,0.304,56,17,Europe and Central Asia,C007,6.9,12.1,7.429517228,10604000,44.86666037,65.65790346,74.329,21.1,683.6,0.0578,0.0592,1.899,90.7,41,53.63758214,22.9,91.85714286,7.27
2017,CRPA,Pseudomonas aeruginosa,Carbapenems,0.254,71,18,Europe and Central Asia,C007,6.7,11.9,7.464336953,11596000,45.06690917,65.18005711,74.669,21.5,750.8,0.0604,0.022,0.954,97.5,43,53.63758214,23.4,92.85714286,7.45
2018,CRPA,Pseudomonas aeruginosa,Carbapenems,0.256,90,23,Europe and Central Asia,C007,7.5,12.4,7.3026296,12368000,42.36347276,64.71109985,75.008,22,707.1,0.0647,0.0488,2.192,97.6,42,53.63758214,24,91,7.45
2019,CRPA,Pseudomonas aeruginosa,Carbapenems,0.252,107,27,Europe and Central Asia,C007,7.8,12.9,6.875876294,12552000,40.84399446,64.25719418,75.347,21.6,547.6,0.047,0.0194,2.112,95.4,43,53.63758214,24.6,93.85714286,7.45
2020,CRPA,Pseudomonas aeruginosa,Carbapenems,0.429,70,30,Europe and Central Asia,C007,7.5,12.7,8.253349439,4973000,38.13040476,63.87265107,75.686,20.2,615.6,0.0534,0.0164,2.037,85.6,44,53.63758214,25.2,90.42857143,7.45
2021,CRPA,Pseudomonas aeruginosa,Carbapenems,0.325,83,27,Europe and Central Asia,C007,7.1,12.1,13.62766075,17911413.63,31.36014901,63.61478901,76.02488275,20,798,0.0696,0.0327,1.629,102.2,42,53.63758214,25.8,92.67043868,7.429834127
2022,CRPA,Pseudomonas aeruginosa,Carbapenems,0.408,76,31,Europe and Central Asia,C007,7.2,12.4,25.06808262,63276240.9,18.15515769,63.53791896,76.36364826,22.5,520,0.0379,0.0269,1.831,82.7,43,53.63758214,26.4,92.63705768,7.389502381
2015,CRPA,Pseudomonas aeruginosa,Carbapenems,0.2,71,14,Europe and Central Asia,C006,6.8,11.8,9.240893659,678000,29.09074544,68.83445313,47.173,32.1,978.8,0.126,0.255,1.813,143.5,38,97.25226029,18.9,83.14285714,3.49
2016,CRPA,Pseudomonas aeruginosa,Carbapenems,0.31,61,19,Europe and Central Asia,C006,6.5,11.4,9.139446278,778000,28.91307048,67.98800781,47.518,31.2,1139.7,0.171,0.253,1.673,157.1,39,97.26105802,18.3,78.14285714,3.49
2017,CRPA,Pseudomonas aeruginosa,Carbapenems,0.28,57,16,Europe and Central Asia,C006,6.4,11.5,8.818039513,923000,29.48851564,67.18802734,47.876,29.9,924.1,0.138,0.175,1.419,139,38,97.26105802,18,77.28571429,3.49
2018,CRPA,Pseudomonas aeruginosa,Carbapenems,0.34,79,27,Europe and Central Asia,C006,7.2,12.2,8.761013888,1053000,29.70884452,66.40876953,48.245,30.6,1015.2,0.174,0.303,2.275,149.3,38,97.26105802,17.9,75.28571429,3.49
2019,CRPA,Pseudomonas aeruginosa,Carbapenems,0.48,81,39,Europe and Central Asia,C006,7.4,12.4,8.663792858,1198000,29.73446866,65.63888672,48.626,26.4,1191.3,0.186,0.208,1.987,155.4,36,97.26105802,17.67026824,75.28571429,3.49
2014,CRPA,Pseudomonas aeruginosa,Carbapenems,0.94,77,72,Europe and Central Asia,C004,3.6,7.8,5.251633946,5375000,37.10062792,46.55060033,76.693,18.3,573.7,0.00705,0.0737,2.18,130.1,31,53.63758214,19.8,86.57142857,10.83
2015,CRPA,Pseudomonas aeruginosa,Carbapenems,0.86,88,76,Europe and Central Asia,C004,4.3,8.5,5.915564254,4386000,38.82448153,46.61133719,77.181,15.5,539.8,0.00563,0.0184,2.247,141.9,32,53.63758214,20.1,85.85714286,10.83
2016,CRPA,Pseudomonas aeruginosa,Carbapenems,0.76,79,60,Europe and Central Asia,C004,3.7,7.7,5.765196034,10935000,28.6386315,46.64994482,77.661,14.6,718.7,0.0125,0.0355,2.201,160.8,40,53.63758214,20.8,85.28571429,10.83
2017,CRPA,Pseudomonas aeruginosa,Carbapenems,0.81,93,75,Europe and Central Asia,C004,3.8,7.6,5.612082195,11060000,30.51343725,46.59875953,78.134,14.7,761.1,0.0119,0.0842,1.592,169.8,44,53.63758214,21.4,85,10.83
2018,CRPA,Pseudomonas aeruginosa,Carbapenems,0.74,69,51,Europe and Central Asia,C004,3.8,7.9,5.380450512,11502000,29.23060261,46.50105922,78.595,16.1,595.2,0.00805,0.12,2.342,140.8,44,53.63758214,21.7,93.42857143,10.83
2019,CRPA,Pseudomonas aeruginosa,Carbapenems,0.87,52,45,Europe and Central Asia,C004,4.5,8.7,5.704032813,11832000,29.47939556,46.41075062,79.044,13.3,579.5,0.00842,0.0403,2.689,140.6,45,53.63758214,22.41929476,96.71428571,10.83
2013,CRPA,Pseudomonas aeruginosa,Carbapenems,0.1,372,37,Europe and Central Asia,C049,3,6.4,10.62467762,8967000,67.21204899,204.7343366,73.674,13.4,1215.9,0.341,0.612,0.857,206.2,85,53.63758214,11.2,91.70746069,4.85
2014,CRPA,Pseudomonas aeruginosa,Carbapenems,0.12,427,51,Europe and Central Asia,C049,4.2,7.8,10.79588177,9158000,67.90293986,207.2507514,73.696,10.7,986.6,0.558,0.873,2.704,166.5,86,53.63758214,11.7,91.99317498,4.73
2015,CRPA,Pseudomonas aeruginosa,Carbapenems,0.12,485,58,Europe and Central Asia,C049,3.9,7.8,11.19578302,9305000,68.18316906,209.6266208,73.718,12,1308.4,0.268,0.455,2.069,207.6,86,53.63758214,11.8,91.99317498,4.73
2016,CRPA,Pseudomonas aeruginosa,Carbapenems,0.11,452,50,Europe and Central Asia,C049,3.5,7.1,11.49004012,10402000,69.00454116,211.9315721,73.739,10.9,1248.2,0.302,0.553,1.841,198,86,53.63758214,11.7,91.99317498,4.69
2017,CRPA,Pseudomonas aeruginosa,Carbapenems,0.11,533,59,Europe and Central Asia,C049,3.5,7.2,11.67883516,11133000,68.44393273,213.9184801,73.761,10.7,992.7,0.254,0.421,1.588,176.3,85,53.63758214,11.3,90.12945208,4.65
2018,CRPA,Pseudomonas aeruginosa,Carbapenems,0.12,522,63,Europe and Central Asia,C049,4.2,8,11.58292156,11715000,68.7792303,215.5000945,73.797,10.7,1235,0.236,0.379,1.844,197.3,85,53.63758214,11.4,90.12945208,4.63
2019,CRPA,Pseudomonas aeruginosa,Carbapenems,0.13,542,70,Europe and Central Asia,C049,3.9,7.7,11.22862794,11818000,67.89052697,217.0427817,73.849,9.2,1075,0.312,0.452,1.568,166.4,85,53.63758214,11.4,90.12945208,4.63
2014,CRPA,Pseudomonas aeruginosa,Carbapenems,0.256,202817,51921,East Asia and Pacific,C008,2.1,8,4.753874809,128499000,41.5543278,146.1258167,54.259,52.8,636.5,0.105,0.125,1.061,96.3,36,97.03880125,8,97.26473659,3.55
2015,CRPA,Pseudomonas aeruginosa,Carbapenems,0.224,219630,49197,East Asia and Pacific,C008,2.5,8.2,4.912150283,133820000,39.81038955,146.9779493,55.5,49.9,653.9,0.11,0.131,1.295,102.3,37,97.03880125,8.6,97.26473659,3.79
2016,CRPA,Pseudomonas aeruginosa,Carbapenems,0.223,246242,54912,East Asia and Pacific,C008,2.4,8.2,4.926735689,141774000,41.89695133,147.8226414,56.736,45.6,698.1,0.125,0.158,1.318,102.8,40,97.03880125,8.8,97.26473659,4.02
2017,CRPA,Pseudomonas aeruginosa,Carbapenems,0.25,1010,252,East Asia and Pacific,C008,2.5,8.4,4.997008684,153260000,43.32621025,148.7200435,57.96,43.3,645.7,0.112,0.132,1.572,98.4,41,97.03880125,8.3,97.26473659,4.31
2018,CRPA,Pseudomonas aeruginosa,Carbapenems,0.193,283222,54662,East Asia and Pacific,C008,2.1,8,5.096051588,158606000,43.5829288,149.4171945,59.152,38.7,658.1,0.108,0.105,1.36,100.6,39,97.07455813,8,97.26473659,4.31
2019,CRPA,Pseudomonas aeruginosa,Carbapenems,0.191,299318,57170,East Asia and Pacific,C008,2.4,8.3,5.319007836,162538000,44.02028943,149.9481797,60.308,37.4,637.6,0.115,0.151,1.422,98.9,41,97.10924291,8,97.12187945,4.31
2020,CRPA,Pseudomonas aeruginosa,Carbapenems,0.183,281260,51471,East Asia and Pacific,C008,2.3,8.2,5.591631821,30402000,45.27583334,150.3055428,61.428,34,665.1,0.126,0.152,1.62,98.2,42,97.14284025,8,97.26473659,4.31
2021,CRPA,Pseudomonas aeruginosa,Carbapenems,0.177,314288,55629,East Asia and Pacific,C008,2.6,8.5,5.826679732,380616155.5,47.94516083,150.4738725,62.5119397,32.1,674,0.114,0.129,1.702,99.9,45,97.17866603,8,102.2961662,4.282104754
2022,CRPA,Pseudomonas aeruginosa,Carbapenems,0.166,420818,69856,East Asia and Pacific,C008,2.4,8.3,5.949905961,1205170466,52.6658131,150.4457126,63.5598191,32.1,622.1,0.102,0.128,1.904,96.6,45,97.21670491,8,103.1608576,4.226314263
2006,CRPA,Pseudomonas aeruginosa,Carbapenems,0.111,36,4,Europe and Central Asia,C010,13.4,18.4,5.51540943,2629000,56.57409771,114.2248918,68.125,19.2,395.1,0.0145,0,0.68,63.6,56,53.63758214,27.1,91.08414271,3.8
2007,CRPA,Pseudomonas aeruginosa,Carbapenems,0.192,52,10,Europe and Central Asia,C010,13.8,18.9,5.42193343,2671000,56.21895722,116.2200216,67.982,20.1,460.5,0.013,0,1.938,67.5,53,53.63758214,28.7,92.41516637,3.8
2008,CRPA,Pseudomonas aeruginosa,Carbapenems,0.186,43,8,Europe and Central Asia,C010,13.8,19,6.094065198,2631000,57.9243848,118.224026,67.839,21.7,288.4,0.00629,0,1.416,56.8,64,53.63758214,28.7,91.8437378,3.78
2009,CRPA,Pseudomonas aeruginosa,Carbapenems,0.082,61,5,Europe and Central Asia,C010,14,18.9,6.555051347,2370000,56.91584174,120.2352814,67.695,21.4,629.5,0.0207,0,1.454,77.2,66,53.63758214,29.2,93.55802351,3.76
2010,CRPA,Pseudomonas aeruginosa,Carbapenems,0.292,48,14,Europe and Central Asia,C010,15.3,20.2,6.582391597,2450000,53.34982952,122.2603896,67.551,22.4,444.7,0.0161,0,0.821,58.1,63,53.63758214,26.3,93.55802351,3.57
2011,CRPA,Pseudomonas aeruginosa,Carbapenems,0.431,51,22,Europe and Central Asia,C010,13.8,18.5,6.516639026,2626000,51.64036945,123.9270563,67.406,24,532.4,0.0181,0,1.22,72.8,63,53.63758214,26.9,93.55802351,3.51
2012,CRPA,Pseudomonas aeruginosa,Carbapenems,0.192,52,10,Europe and Central Asia,C010,14.6,19.2,6.551058835,2635000,53.13879255,125.1683983,67.261,25.2,733.5,0.0498,0.000289,1.809,84.8,66,53.63758214,25.1,93.41516637,3.46
2013,CRPA,Pseudomonas aeruginosa,Carbapenems,0.191,47,9,Europe and Central Asia,C010,14.4,19.3,6.896210847,2626000,53.31784754,126.2952381,67.137,18.5,359.5,0.017,0.000336,1.232,60.5,63,53.63758214,23.9,93.41516637,3.41
2014,CRPA,Pseudomonas aeruginosa,Carbapenems,0.333,42,14,Europe and Central Asia,C010,14.7,19.4,6.886956583,2558000,56.38588401,127.3804113,67.031,18.5,475.4,0.011,0,2.004,70.6,63,53.63758214,22.2,93.41516637,3.42
2015,CRPA,Pseudomonas aeruginosa,Carbapenems,0.209,43,9,Europe and Central Asia,C010,14,18.8,6.799103742,2780000,56.78711161,128.4935065,66.946,17.8,519.6,0.0247,0.000577,1.895,72.4,61,53.63758214,26.6,93.70088066,3.42
2016,CRPA,Pseudomonas aeruginosa,Carbapenems,0.188,64,12,Europe and Central Asia,C010,14.6,19.6,6.677999075,3286000,57.76526666,129.6408009,66.881,16.8,420.1,0.0101,0.000145,1.807,61.4,55,53.63758214,28.4,93.55802351,3.43
2017,CRPA,Pseudomonas aeruginosa,Carbapenems,0.17,53,9,Europe and Central Asia,C010,14.3,19.1,6.658437891,3750000,58.11733405,130.7925325,66.836,17.7,369.3,0.0153,0,1.523,61.6,57,53.63758214,28.9,93.55802351,3.4
2018,CRPA,Pseudomonas aeruginosa,Carbapenems,0.127,55,7,Europe and Central Asia,C010,15.3,20,6.87202797,4024000,57.6060703,131.9081169,66.81,15.9,570.8,0.0192,0,2.282,75.7,59,53.63758214,28.3,93.98659494,3.4
2019,CRPA,Pseudomonas aeruginosa,Carbapenems,0.212,33,7,Europe and Central Asia,C010,14.7,19.4,6.727328208,4117000,44.11381188,132.9909091,66.805,16.4,654.9,0.0547,0.000336,2.082,81.4,58,53.63758214,27.67393508,91.70088066,3.4
2020,CRPA,Pseudomonas aeruginosa,Carbapenems,0.206,63,13,Europe and Central Asia,C010,14.9,19.7,7.770263086,4117000,21.48819168,133.9325758,66.821,16.8,494.5,0.0369,0.000626,1.989,73.7,57,53.63758214,27.3257806,91.70088066,3.4
2021,CRPA,Pseudomonas aeruginosa,Carbapenems,0.245,102,25,Europe and Central Asia,C010,15,19.8,11.67848438,4115023.436,5.326565412,134.6177633,66.85783383,16.4,425.6,0.0165,0.000336,1.582,63.2,53,53.63758214,27.13217202,96.55763015,3.403816527
2022,CRPA,Pseudomonas aeruginosa,Carbapenems,0.33,97,32,Europe and Central Asia,C010,14.5,19.3,19.99791657,4199070.307,32.48282651,134.9381383,66.91550149,21.3,463.1,0.022,0.00024,2.209,69.5,52,53.63758214,27.02450635,97.1161721,3.411449582
2005,CRPA,Pseudomonas aeruginosa,Carbapenems,0.31,257,80,Europe and Central Asia,C011,3.5,7.8,6.348552112,24747000,14.77374362,132.1669169,73.602,23.4,702.7,0.0268,0.133,0.335,164.3,43,53.63758214,16.7,97.57142857,7.57
2006,CRPA,Pseudomonas aeruginosa,Carbapenems,0.33,489,161,Europe and Central Asia,C011,3.9,8.4,6.173442118,25102000,14.49705002,132.5424595,73.533,24.1,668.1,0.0268,0.132,0.622,149.3,48,53.63758214,15.4,97.85714286,7.45
2007,CRPA,Pseudomonas aeruginosa,Carbapenems,0.36,517,186,Europe and Central Asia,C011,4.7,9.1,6.011055055,22625000,16.20757647,133.3181618,73.463,17.5,734.5,0.0219,0.0986,0.814,172.4,52,53.63758214,15.9,98.71428571,7.33
2008,CRPA,Pseudomonas aeruginosa,Carbapenems,0.29,564,164,Europe and Central Asia,C011,4.6,9,6.355452294,21850000,19.00500706,134.4459218,73.394,17.9,629.5,0.0202,0.115,1.031,159.1,52,53.63758214,16.3,98.57142857,7.21
2009,CRPA,Pseudomonas aeruginosa,Carbapenems,0.29,575,167,Europe and Central Asia,C011,4.3,8.6,7.261352467,23285000,17.11661645,135.214086,73.324,19.3,746.4,0.024,0.132,0.983,179.9,49,53.63758214,16.6,98.57142857,7.14
2010,CRPA,Pseudomonas aeruginosa,Carbapenems,0.36,510,184,Europe and Central Asia,C011,3.1,7.3,6.883754067,21941000,16.87223313,135.6261815,73.255,21.7,867.4,0.0379,0.158,2.03,178.2,46,53.63758214,15.9,97.41516637,7.3
2011,CRPA,Pseudomonas aeruginosa,Carbapenems,0.29,448,130,Europe and Central Asia,C011,4.2,8.8,6.93400849,22810000,16.30564748,135.9068756,73.185,20.6,594.8,0.0175,0.127,0.715,133.9,44,53.63758214,16.4,97.41516637,7.06
2012,CRPA,Pseudomonas aeruginosa,Carbapenems,0.29,489,142,Europe and Central Asia,C011,4,8.6,6.982134285,25750000,16.4556052,136.0971773,73.197,18.5,664.1,0.0204,0.0887,0.97,162,49,53.63758214,15.6,97.55802351,6.93
2013,CRPA,Pseudomonas aeruginosa,Carbapenems,0.3,516,155,Europe and Central Asia,C011,4.1,8.2,7.721134505,26332000,16.59399514,136.1599586,73.29,19.3,728.7,0.0285,0.157,1.238,167.6,48,53.63758214,17,97.55802351,6.7
2014,CRPA,Pseudomonas aeruginosa,Carbapenems,0.29,448,130,Europe and Central Asia,C011,5.4,9.7,7.606114523,27166000,17.42986354,136.30338,73.384,18.7,718,0.0236,0.0911,1.048,157.1,51,53.63758214,18,96.98659494,6.68
2015,CRPA,Pseudomonas aeruginosa,Carbapenems,0.23,464,107,Europe and Central Asia,C011,5.1,9.6,7.201730272,29604000,17.76703771,136.589289,73.477,16.8,555.4,0.0138,0.0958,1.139,139.7,56,53.63758214,19.1,96.55802351,6.67
2016,CRPA,Pseudomonas aeruginosa,Carbapenems,0.22,464,102,Europe and Central Asia,C011,4.7,9,7.11495939,32519000,18.12168272,136.8518586,73.57,16.6,719.2,0.0218,0.0885,1.493,166.4,55,53.63758214,18.1,94.98659494,6.66
2017,CRPA,Pseudomonas aeruginosa,Carbapenems,0.17,411,70,Europe and Central Asia,C011,4.5,8.9,7.391612164,34701000,15.95528363,137.2158788,73.675,16.5,704.4,0.0222,0.0984,0.776,176.5,57,53.63758214,18.5,93.55802351,6.63
2018,CRPA,Pseudomonas aeruginosa,Carbapenems,0.23,539,124,Europe and Central Asia,C011,5.2,9.8,7.484474294,36268000,15.46120294,137.6755343,73.792,17.7,556.4,0.0124,0.085,2.119,129.9,59,53.63758214,18.6,93.55802351,6.62
