year,combination,organism,antibiotics,R,Tested.isolates,isolates,Region,NAME,TMN,TMP,HEG,IT,OPE,PD,UP,PMP,PREC,SR,SSR,TCL,HUM,CPI,WASH,AMC,IC,HD,logit_R,log_AMC,log_IT,log_PMP,log_PD
2001,3GCREC,Escherichia coli,Cephalosporins (3rd gen),0.007,1258,9,Europe and Central Asia,C017,5.2,9.1,9.929691707,17861000,21.82748653,236.0273001,75.17,15.2,789.6,0.0272,0.243,1.286,193.4,74,53.63758214,15.7,90.94128557,9.01,-4.822295665,2.815408719,16.69813018,2.785011242,5.468175325
2001,3GCREC,Escherichia coli,Cephalosporins (3rd gen),0.006,1454,9,Europe and Central Asia,C047,8.8,14.1,6.798429352,75564000,28.97069049,81.94337639,76.343,13.2,717.6,0.0622,0.0992,0.516,137.2,70,53.63758214,25.1,91.369857,3.58,-4.956832588,3.261935314,18.14049055,2.653241965,4.418158163
2001,3GCREC,Escherichia coli,Cephalosporins (3rd gen),0.059,51,3,Europe and Central Asia,C014,2.6,6.1,4.763877629,3230000,21.99961767,32.7462845,69.242,9.5,744,0.00973,0.1,0.656,176.7,56,53.63758214,12.3,91.27131663,6.6,-2.753660712,2.587764035,14.987993,2.351375257,3.518870322
2001,3GCREC,Escherichia coli,Cephalosporins (3rd gen),0.002,1207,2,Europe and Central Asia,C015,-2.1,2,7.249516676,2826000,23.77337807,17.03275879,82.368,7.1,588.1,0.00892,0.232,0.729,199.5,99,53.63758214,21.3,93.38984209,7.46,-5.80814249,3.104586678,14.8543732,2.091864062,2.892190037
2001,3GCREC,Escherichia coli,Cephalosporins (3rd gen),0.012,1154,14,Europe and Central Asia,C054,5.8,9,7.384361342,22835000,21.93668135,244.366854,78.751,12.8,961.5,0.0279,0.378,0.631,167.4,83,53.63758214,15.5,86.85031784,4.04,-4.331744974,2.803360381,16.94380505,2.624668592,5.502754454
2001,3GCREC,Escherichia coli,Cephalosporins (3rd gen),0.054,569,31,Europe and Central Asia,C018,11.7,16.1,8.005578905,14678000,36.79361685,84.2678976,72.913,18.8,618.3,0.079,0.0331,0.565,87.1,42,53.63758214,27.2,88.94128557,4.81,-2.845965908,3.339321978,16.5018604,2.985681938,4.445798037
2001,3GCREC,Escherichia coli,Cephalosporins (3rd gen),0.016,182,3,Europe and Central Asia,C009,7.3,12,7.177238896,40129000,17.800269,76.90016454,53.642,23.2,1082.5,0.0906,0.189,0.784,146.4,39,53.63758214,18.7,92.8427452,6,-4.059428297,2.980618636,17.50760985,3.186352633,4.355428065
2001,3GCREC,Escherichia coli,Cephalosporins (3rd gen),0.004,262,1,Europe and Central Asia,C019,6,10.8,6.816325425,30679000,33.09774739,113.6752511,64.67,25,594.9,0.0125,0.0205,1.314,138.4,53,53.63758214,18,97.14943718,7.92,-5.295312858,2.944438979,17.23908897,3.258096538,4.74210423
2001,3GCREC,Escherichia coli,Cephalosporins (3rd gen),2.22E-18,86,0,Europe and Central Asia,C020,-0.7,2.2,8.742698644,329000,17.28614749,2.842573566,92.532,4.7,1069,0.0927,0.792,1.391,189.4,92,53.63758214,20,89.09072275,7.5,-6.908754779,3.044522438,12.70381607,1.740466175,1.346142342
2001,3GCREC,Escherichia coli,Cephalosporins (3rd gen),0.005,187,1,Europe and Central Asia,C027,5.8,11,6.417414224,836000,15.94594684,171.5019849,84.843,27.9,481.4,0.198,0.212,1.433,106.4,87,53.63758214,16.3,92.51271414,6.099999905,-5.111987788,2.850706502,13.63638509,3.363841595,5.150408743
2001,3GCREC,Escherichia coli,Cephalosporins (3rd gen),2.22E-18,65,0,Middle East and North Africa,C030,16.6,20.7,6.597053942,1439000,30.99999999,1228.2125,92.641,12.7,272.4,0.0454,0.00977,1.669,51.7,47,53.63758214,22,86.23357989,7.57,-6.908754779,3.135494216,14.17945968,2.617395833,7.114128999
2001,3GCREC,Escherichia coli,Cephalosporins (3rd gen),0.006,1446,9,Europe and Central Asia,C032,6.6,10.2,8.08770841,9500000,30.37309782,475.3015403,77.83,14.1,927.8,0.147,0.448,0.572,208.1,88,53.63758214,9.3,92.09072275,4.75,-4.956832588,2.332143895,16.06680246,2.714694744,6.166051142
2001,3GCREC,Escherichia coli,Cephalosporins (3rd gen),0.003,964,3,Europe and Central Asia,C035,21.8,27.7,8.026529513,3073000,17.19991394,12.35817974,76.378,42.7,32.2,0.000153,0,0.661,9.4,86,53.63758214,13.5,90.13603212,3.82,-5.519458915,2.674148649,14.93816517,3.777348102,2.592128912
2001,3GCREC,Escherichia coli,Cephalosporins (3rd gen),0.071,99,7,Europe and Central Asia,C038,11.3,15.9,5.66525485,61431000,29.657726,124.8753665,61.761,12.7,974.1,0.178,0.292,1.165,128.1,41,53.63758214,24.8,95.12187945,4.900000095,-2.558518467,3.250374492,17.93342517,2.617395833,4.835292263
2001,3GCREC,Escherichia coli,Cephalosporins (3rd gen),0.029,418,12,Europe and Central Asia,C039,22.9,28.2,8.652532384,12167000,29.78740901,113.2537923,55.044,81.6,61.2,0,0,0.97,16.8,63,53.63758214,15.2,83,3.65,-3.478158423,2.785011242,16.31423801,4.414009681,4.738422222
2001,3GCREC,Escherichia coli,Cephalosporins (3rd gen),0.067,45,3,Europe and Central Asia,C043,4.9,9.6,5.330565306,12583000,11.85951347,111.8267568,56.163,21.5,1160.9,0.154,0.404,0.635,166.8,37,53.63758214,16.4,94,7.67,-2.619968733,2.856470206,16.34785733,3.113515309,4.725853517
2001,3GCREC,Escherichia coli,Cephalosporins (3rd gen),0.003,398,1,Europe and Central Asia,C044,11,18,7.882298854,1219000,29.43887216,98.91062562,50.78,25.7,434.6,0.0246,0.0098,1.237,66.6,52,53.63758214,9.9,93.43515146,5.16,-5.519458915,2.388762789,14.01354223,3.284663565,4.604276043
2001,3GCREC,Escherichia coli,Cephalosporins (3rd gen),0.003,2627,8,Europe and Central Asia,C048,-1.3,2.8,7.910522196,4108000,17.84704984,21.83916765,84.071,7.8,577.9,0.0165,0.393,0.881,154.4,90,53.63758214,14.8,83.72086575,3.27,-5.519458915,2.76000994,15.22844709,2.174751721,3.128476941
2001,3GCREC,Escherichia coli,Cephalosporins (3rd gen),0.02,9362,187,North America,C055,3,9.2,13.14153758,70975000,54.66393591,31.10362839,79.234,12.6,762,0.0522,0.149,0.786,106.6,76,53.63758214,29.7,90.27230923,3.47,-3.844050022,3.424262655,18.07783827,2.610069793,3.468969058
2001,3GCREC,Escherichia coli,Cephalosporins (3rd gen),0.22,309,68,Latin America and the Caribbean,C056,20.7,25.8,7.859209855,792000,54.9824662,28.20724789,87.85,22.6,1934.3,0.343,0.533,0.626,155.7,28,53.63758214,10.4,74.09754777,0.800000012,-1.262412448,2.433613355,13.58231793,3.161246712,3.374416894
2002,3GCREC,Escherichia coli,Cephalosporins (3rd gen),0.013,477,6,Europe and Central Asia,C003,3.7,7.9,9.416105345,18611000,26.56185911,97.93937227,59.655,19.4,1195.4,0.19,0.391,1.531,178,78,53.63758214,14.9,76.41516637,7.81,-4.256625368,2.766319109,16.73926342,3.015534901,4.594507261
2002,3GCREC,Escherichia coli,Cephalosporins (3rd gen),0.028,1181,33,Europe and Central Asia,C005,7,11,8.336815679,6720000,26.27672679,341.2412483,97.241,14.6,999.8,0.0226,0.309,1.398,202.6,71,53.63758214,22.3,84.65557129,6.54,-3.513088252,3.148453361,15.72059886,2.747270914,5.835515893
2002,3GCREC,Escherichia coli,Cephalosporins (3rd gen),0.133,135,18,Europe and Central Asia,C007,6.8,11.6,7.052498872,5563000,40.66489967,72.03272978,69.524,28.6,686.2,0.0852,0.0317,0.854,103.2,40,53.63758214,11,90.12187945,6.49,-1.868351915,2.48490665,15.53164827,3.387774361,4.290907694
2002,3GCREC,Escherichia coli,Cephalosporins (3rd gen),0.01,1585,16,Europe and Central Asia,C011,4.4,8.7,6.174778423,20108000,11.92584232,131.964747,73.809,24.8,781.2,0.0403,0.212,0.836,162.5,37,53.63758214,14.7,95.57142857,7.76,-4.500819262,2.753660712,16.81662835,3.250374492,4.890084033
2002,3GCREC,Escherichia coli,Cephalosporins (3rd gen),0.009,1064,10,Europe and Central Asia,C017,5.8,9.7,10.18960924,17969000,22.17834344,236.4515708,75.374,16.1,889.3,0.0425,0.322,1.06,182.1,73,53.63758214,15.9,90.27230923,8.87,-4.597138014,2.827313622,16.70415866,2.839078464,5.46996369
2002,3GCREC,Escherichia coli,Cephalosporins (3rd gen),0.016,2475,40,Europe and Central Asia,C047,8.8,14.1,6.86620027,79313000,28.95956407,83.02251924,76.533,13.4,732.3,0.0498,0.0328,0.453,135.4,71,53.63758214,24.5,92.22699986,3.53,-4.059428297,3.238678452,18.18891262,2.667228207,4.431084849
2002,3GCREC,Escherichia coli,Cephalosporins (3rd gen),0.015,65,1,Europe and Central Asia,C014,2.5,6.3,4.68915273,3253000,23.87481987,32.53951404,69.116,10.6,512.4,0.00788,0.135,0.827,138.3,56,53.63758214,11.8,92.69988806,5.98,-4.121067632,2.549445171,14.99508851,2.451005098,3.512724267
2002,3GCREC,Escherichia coli,Cephalosporins (3rd gen),0.006,1270,8,Europe and Central Asia,C015,-2.2,2.1,7.627698916,2875000,23.16972992,17.07409304,82.503,6.9,500.2,0.00808,0.196,1.031,165.2,97,53.63758214,19.8,93.38984209,7.35,-4.956832588,3.034952987,14.87156358,2.066862759,2.894479589
2002,3GCREC,Escherichia coli,Cephalosporins (3rd gen),0.008,2495,20,Europe and Central Asia,C016,7.9,11.9,10.0861793,190282000,26.99799936,112.8925483,76.38,14.1,964.6,0.0865,0.199,1.171,167.4,63,53.63758214,29.1,80.66897634,7.71,-4.703506087,3.404525172,19.06401775,2.714694744,4.735255445
2002,3GCREC,Escherichia coli,Cephalosporins (3rd gen),0.021,1703,36,Europe and Central Asia,C054,6.5,9.5,7.710968011,24180000,20.30352587,245.4035423,79.047,12.9,1218.2,0.0343,0.404,1.011,197.1,87,53.63758214,15.7,86.85031784,3.98,-3.796510118,2.815408719,17.00103644,2.63188884,5.506970608
2002,3GCREC,Escherichia coli,Cephalosporins (3rd gen),0.064,581,37,Europe and Central Asia,C018,11.5,15.8,8.244176134,14918000,39.5423137,84.5773623,73.303,19.4,802.8,0.12,0.0424,0.825,98.7,42,53.63758214,32.8,89.51271414,4.75,-2.668296012,3.520460802,16.51807916,3.015534901,4.449420789
2002,3GCREC,Escherichia coli,Cephalosporins (3rd gen),0.029,490,14,Europe and Central Asia,C009,8,12.6,6.138208559,41737000,20.98830891,76.94544999,53.81,24.3,1241.9,0.127,0.172,0.922,158.5,38,53.63758214,19.2,92.43515146,5.67,-3.478158423,3.005682604,17.54689861,3.230804396,4.356009223
2002,3GCREC,Escherichia coli,Cephalosporins (3rd gen),0.02,350,7,Europe and Central Asia,C019,6.7,11.6,7.109647343,31739000,30.7598746,113.3520196,65.081,27.4,601.5,0.0086,0.0152,0.435,136.9,49,53.63758214,16.8,97.00658004,7.91,-3.844050022,2.879198457,17.2730568,3.346389145,4.739281582
2002,3GCREC,Escherichia coli,Cephalosporins (3rd gen),0.022,732,16,Europe and Central Asia,C022,6.7,10,6.727803509,6476000,21.00878591,57.07572942,59.649,9.6,1467.1,0.039,0.53,1.168,233.2,69,53.63758214,19.9,83.10412781,5.78,-3.751037427,3.039749159,15.68361375,2.360854001,4.061747839
2002,3GCREC,Escherichia coli,Cephalosporins (3rd gen),2.22E-18,82,0,Europe and Central Asia,C020,-0.4,2.4,9.394838623,315000,18.62097988,2.86805985,92.662,5.1,1243.7,0.12,0.965,1.423,203.6,94,53.63758214,20.6,90.80500846,7.5,-6.908754779,3.072693315,12.66033109,1.808288771,1.352753051
2002,3GCREC,Escherichia coli,Cephalosporins (3rd gen),0.029,614,18,Europe and Central Asia,C023,10.8,14.7,7.876805983,63561000,25.0414219,192.9507402,67.382,21.4,860.4,0.164,0.175,0.83,127.4,52,53.63758214,24.1,88.79842843,4.44,-3.478158423,3.222867846,17.96751065,3.109060959,5.26760421
2002,3GCREC,Escherichia coli,Cephalosporins (3rd gen),0.005,192,1,Europe and Central Asia,C027,6.1,11.1,6.793354342,885000,16.0321167,173.3081889,85.299,29.3,704.6,0.237,0.23,1.393,121.6,90,53.63758214,17,94.08414271,6,-5.111987788,2.890371758,13.69334405,3.411147713,5.160824933
2002,3GCREC,Escherichia coli,Cephalosporins (3rd gen),0.027,74,2,Middle East and North Africa,C030,16.5,20.3,7.365079597,1483000,29.59770115,1237.403125,92.905,12.9,311.1,0.0536,0.12,0.942,54.1,46.6,53.63758214,19.5,85.51929418,7.48,-3.549206793,3.020424886,14.2095783,2.63188884,7.121578026
2002,3GCREC,Escherichia coli,Cephalosporins (3rd gen),0.01,1994,20,Europe and Central Asia,C032,7,10.6,8.672570408,9595000,30.01568844,478.3450533,79.113,15,912.3,0.175,0.567,0.42,196,90,53.63758214,9.4,93.85031784,4.69,-4.500819262,2.341805806,16.07675279,2.772588722,6.1724207
2002,3GCREC,Escherichia coli,Cephalosporins (3rd gen),0.002,1118,2,Europe and Central Asia,C035,21.8,27.6,9.010653124,3111000,17.11505886,12.4250063,76.733,37.5,55.1,0.000886,0,0.891,12.9,85,53.63758214,15.3,90.56460355,4.99,-5.80814249,2.791165108,14.9504551,3.650658241,2.59711911
2002,3GCREC,Escherichia coli,Cephalosporins (3rd gen),2.22E-18,706,0,East Asia and Pacific,C033,6.3,10.9,7.900292523,2045000,25.06722915,14.99563252,86.161,6.9,1637.7,0.107,0.223,0.776,170.3,95,53.63758214,22.1,86.94128557,6.2,-6.908754779,3.139832618,14.53090884,2.066862759,2.772315717
2002,3GCREC,Escherichia coli,Cephalosporins (3rd gen),0.062,130,8,Europe and Central Asia,C038,11.2,15.8,6.06536602,50735000,30.04432849,124.8175389,61.787,12.9,1006.8,0.114,0.0563,0.681,129.9,40,53.63758214,26.7,95.97902231,5.599999905,-2.701680753,3.321432413,17.74212659,2.63188884,4.834832753
2002,3GCREC,Escherichia coli,Cephalosporins (3rd gen),0.057,442,25,Europe and Central Asia,C039,22.9,28,8.807529347,11644000,27.96311253,113.8757486,55.666,77,64.9,0,0,1.436,20,63,53.63758214,16.7,86.85714286,3.57,-2.789683156,2.87356464,16.27030167,4.356708827,4.743851097
2002,3GCREC,Escherichia coli,Cephalosporins (3rd gen),0.019,214,4,Europe and Central Asia,C043,5.6,10.2,5.507387705,12583000,12.05741399,111.7861123,56.013,22.5,898.1,0.182,0.339,0.776,135.6,37,53.63758214,15.4,97.71428571,7.57,-3.893859035,2.797281335,16.34785733,3.157000421,4.725493214
2002,3GCREC,Escherichia coli,Cephalosporins (3rd gen),0.012,409,5,Europe and Central Asia,C044,10.7,18.1,8.023221158,1302000,27.57076,99.03326713,50.857,25.2,391.4,0.0147,0.00624,1.376,60.3,60,53.63758214,10.1,93.29229432,5.09,-4.331744974,2.406945108,14.07941287,3.265759411,4.605502802
2002,3GCREC,Escherichia coli,Cephalosporins (3rd gen),0.003,3062,9,Europe and Central Asia,C048,-0.9,3.4,8.224649768,4276000,17.42786828,21.91035639,84.133,8.5,566.7,0.0134,0.275,0.881,164.4,93,53.63758214,14.3,83.86372289,3.13,-5.519458915,2.727852828,15.26852878,2.251291799,3.131589052
2002,3GCREC,Escherichia coli,Cephalosporins (3rd gen),0.03,9553,287,North America,C055,3.1,9.3,13.95649086,64434000,54.78593244,31.39354993,79.409,12.2,806.2,0.0574,0.16,0.951,109.8,77,53.63758214,29.2,90.27230923,3.39,-3.444339264,3.407841924,17.98115202,2.58021683,3.477959327
2002,3GCREC,Escherichia coli,Cephalosporins (3rd gen),0.19,284,54,Latin America and the Caribbean,C056,20.8,25.8,7.720838527,590000,53.82577665,28.71824613,87.876,20.8,2000.9,0.387,0.644,0.864,160.9,25,53.63758214,10.5,74.5261192,0.800000012,-1.445994626,2.442347035,13.28787951,3.08190997,3.391761205
2003,3GCREC,Escherichia coli,Cephalosporins (3rd gen),0.018,977,18,Europe and Central Asia,C003,2.7,7.5,9.571682786,19078000,26.86173229,98.41763209,59.375,19.2,873.8,0.088,0.211,1.464,148.3,80,53.63758214,15.5,78.55802351,7.73,-3.946170141,2.803360381,16.76404645,3.005682604,4.599329483
2003,3GCREC,Escherichia coli,Cephalosporins (3rd gen),0.035,1316,46,Europe and Central Asia,C005,6.3,10.8,9.181918391,6690000,25.8830461,342.6728203,97.296,16.8,704.9,0.00916,0.209,1.526,158.1,76,53.63758214,22.8,85.369857,6.53,-3.289644896,3.169685581,15.71612458,2.879198457,5.839690101
2003,3GCREC,Escherichia coli,Cephalosporins (3rd gen),0.184,158,29,Europe and Central Asia,C007,5.9,10.7,7.171691552,6241000,39.28135438,71.48411327,69.879,28.4,601.2,0.0527,0.0545,0.181,89.6,39,53.63758214,12.3,93.97902231,6.29,-1.48528327,2.587764035,15.64665114,3.380994674,4.283367411
2003,3GCREC,Escherichia coli,Cephalosporins (3rd gen),0.01,1759,18,Europe and Central Asia,C011,3.5,8.3,6.524658742,20108000,12.51833611,131.9269833,73.74,23.6,505.8,0.0116,0.14,0.585,128.7,39,53.63758214,15.3,96.57142857,7.73,-4.500819262,2.791165108,16.81662835,3.202746443,4.88979998
2003,3GCREC,Escherichia coli,Cephalosporins (3rd gen),0.006,990,6,Europe and Central Asia,C017,5,9.5,10.40117211,18399000,22.59224162,236.6164273,75.577,16.9,555.9,0.0126,0.2,0.239,142.8,77,53.63758214,16.9,91.98659494,8.74,-4.956832588,2.884800713,16.72780693,2.884800713,5.470657724
2003,3GCREC,Escherichia coli,Cephalosporins (3rd gen),0.042,2650,111,Europe and Central Asia,C047,9.1,14.5,7.627940103,82326000,28.89610328,84.50881393,76.778,13.6,603.5,0.0555,0.0645,0.791,121.9,69,53.63758214,24.6,92.51271414,3.44,-3.104690959,3.242592351,18.22619755,2.681021529,4.448619458
2003,3GCREC,Escherichia coli,Cephalosporins (3rd gen),0.01,97,1,Europe and Central Asia,C014,2.3,5.8,4.845341395,3378000,23.73559129,32.33592828,68.989,9.8,602.1,0.00848,0.0535,0.73,160.7,55,53.63758214,10.2,93.12845949,5.73,-4.500819262,2.415913778,15.03279467,2.379546134,3.506635743
2003,3GCREC,Escherichia coli,Cephalosporins (3rd gen),0.01,1359,14,Europe and Central Asia,C015,-1.8,2.4,7.937685728,2601000,22.68162414,17.11485604,82.638,7.3,539.5,0.00751,0.12,1.092,182,97,53.63758214,19.9,93.53269924,7.24,-4.500819262,3.039749159,14.77140693,2.116255515,2.896732377
2003,3GCREC,Escherichia coli,Cephalosporins (3rd gen),0.01,2266,23,Europe and Central Asia,C016,7.4,11.9,10.14636526,190282000,27.36457966,113.6351888,76.632,15.1,728.8,0.0615,0.192,0.713,143.1,69,53.63758214,27.4,80.38326206,7.55,-4.500819262,3.346389145,19.06401775,2.778819272,4.741754815
2003,3GCREC,Escherichia coli,Cephalosporins (3rd gen),0.033,2018,67,Europe and Central Asia,C054,6.2,9.6,8.095342073,24715000,21.30098666,246.5489067,79.339,14.3,1137.2,0.02,0.275,1.194,179.7,87,53.63758214,16.2,86.85031784,3.95,-3.348871563,2.844909384,17.02292095,2.727852828,5.511608165
2003,3GCREC,Escherichia coli,Cephalosporins (3rd gen),0.056,1071,60,Europe and Central Asia,C018,11.4,15.6,8.458244614,14785000,40.13583383,84.77944143,73.689,19.3,745.3,0.126,0.103,0.988,96.1,43,53.63758214,33.3,90.369857,4.74,-2.80813366,3.535145354,16.50912378,3.010620886,4.451779367
2003,3GCREC,Escherichia coli,Cephalosporins (3rd gen),0.044,570,25,Europe and Central Asia,C009,7.3,12.2,6.29270903,42857000,18.66981616,76.89584376,53.979,24.3,831.5,0.062,0.136,0.871,133.8,37,53.63758214,19.9,94.29229432,5.61,-3.057140902,3.039749159,17.57337957,3.230804396,4.355372598
2003,3GCREC,Escherichia coli,Cephalosporins (3rd gen),0.01,841,8,Europe and Central Asia,C019,5.6,10.8,8.110181266,31412000,30.01810727,113.0278063,65.489,26.7,471.7,0.00669,0.0188,0.385,110.6,48,53.63758214,18.4,97.14943718,7.9,-4.500819262,2.965273066,17.26270058,3.321432413,4.736442334
2003,3GCREC,Escherichia coli,Cephalosporins (3rd gen),0.022,963,21,Europe and Central Asia,C022,6.7,10.1,7.064412721,6764000,21.23682471,58.01307882,59.925,10.7,1009.8,0.0233,0.354,0.96,202.8,75,53.63758214,19.5,85.10412781,5.67,-3.751037427,3.020424886,15.72712514,2.459588842,4.077759094
2003,3GCREC,Escherichia coli,Cephalosporins (3rd gen),0.01,99,1,Europe and Central Asia,C020,0.3,3.2,9.719411894,348000,18.72434278,2.887990025,92.789,5.1,1221.3,0.102,0.907,0.71,214.2,96,53.63758214,18.7,93.13603212,7.5,-4.500819262,2.980618636,12.75996063,1.808288771,1.357892321
2003,3GCREC,Escherichia coli,Cephalosporins (3rd gen),0.062,923,57,Europe and Central Asia,C023,10.7,14.8,7.857629899,63026000,24.66634934,193.8103294,67.501,21.4,719.3,0.101,0.129,1.024,114.7,53,53.63758214,24.6,90.79842843,4.18,-2.701680753,3.242592351,17.95905791,3.109060959,5.272026415
2003,3GCREC,Escherichia coli,Cephalosporins (3rd gen),0.009,227,2,Europe and Central Asia,C027,5.5,10.5,7.013581358,867000,16.12850644,175.4270799,85.743,29.2,626.9,0.277,0.354,1.692,119.7,87,53.63758214,17.9,94.08414271,6,-4.597138014,2.939161922,13.67279541,3.407841924,5.172907646
2003,3GCREC,Escherichia coli,Cephalosporins (3rd gen),0.022,91,2,Middle East and North Africa,C030,16.6,20.5,7.861612114,1512000,30.42328042,1245.56875,93.16,14.5,516.9,0.0562,0.183,1.401,65.3,34.66666667,53.63758214,21.9,77.55802351,7.43,-3.751037427,3.131136911,14.2289445,2.740840024,7.128150056
2003,3GCREC,Escherichia coli,Cephalosporins (3rd gen),2.22E-18,42,0,Sub-Saharan Africa,C028,17.6,22.9,3.213556029,424000,18.72673894,128.2134599,14.875,20.5,1063.6,0.504,0.511,0.982,99.2,28,15.4411136,4.6,84.09754777,1.1,-6.908754779,1.722766598,12.95749109,3.068052935,4.861465765
2003,3GCREC,Escherichia coli,Cephalosporins (3rd gen),0.015,1850,28,Europe and Central Asia,C032,6.2,10.4,9.074415634,9181000,29.83657386,480.6072867,80.341,16.3,629.3,0.154,0.487,0.238,152,89,53.63758214,9.3,94.70746069,4.58,-4.121067632,2.332143895,16.0326468,2.850706502,6.177129024
2003,3GCREC,Escherichia coli,Cephalosporins (3rd gen),0.003,1177,4,Europe and Central Asia,C035,22,27.8,9.218538312,3269000,16.83320832,12.49809716,77.084,45.1,37.4,0.000486,0,0.838,9.5,88,53.63758214,15.1,89.85031784,4.99,-5.519458915,2.778819272,14.99999499,3.83081295,2.602548724
2003,3GCREC,Escherichia coli,Cephalosporins (3rd gen),2.22E-18,841,0,East Asia and Pacific,C033,6.1,10.9,7.730333253,2104000,24.50259903,15.29451977,86.221,7,1456.2,0.0884,0.177,0.776,161.7,95,53.63758214,22.3,86.79842843,6.2,-6.908754779,3.148453361,14.55935133,2.079441542,2.790828841
2003,3GCREC,Escherichia coli,Cephalosporins (3rd gen),0.041,123,5,Europe and Central Asia,C038,11.6,16.3,5.951238152,52130000,31.40551579,124.7536899,61.676,14.3,686.1,0.103,0.173,1.458,109.3,36,53.63758214,25.9,95.40759374,6.68,-3.129263666,3.292126287,17.76925118,2.727852828,4.834325152
2003,3GCREC,Escherichia coli,Cephalosporins (3rd gen),0.071,786,56,Europe and Central Asia,C039,23.2,28.1,9.136122838,11707000,29.35217973,114.3040546,56.287,90.7,70.9,0,0,1.179,17.8,66,53.63758214,16.3,91,3.58,-2.558518467,2.850706502,16.2756976,4.518522379,4.747572592
2003,3GCREC,Escherichia coli,Cephalosporins (3rd gen),0.188,48,9,Europe and Central Asia,C040,-8.5,-3.7,5.357932736,5595000,16.92721243,93.82181344,52.912,15.8,493.1,0.0381,0.141,0.181,159,28,53.63758214,6.3,95.97902231,6.75,-1.458984094,1.987874348,15.53738408,2.821378886,4.551999482
